epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0935,1.39033,1.94634,1.19831,0.49325,0.31025,0.27546,0.16424,1.1136,0.93303,1.02186,0.000411111,0.000411111,0.000411111
2,61.2583,1.2407,1.00914,1.11375,0.8323,0.26917,0.30285,0.15812,1.21323,1.17972,1.11519,0.00082368,0.00082368,0.00082368
3,87.6878,1.26774,1.00175,1.13386,0.77348,0.28395,0.33952,0.19001,1.29373,0.97798,1.16409,0.00123212,0.00123212,0.00123212
4,115.118,1.28799,0.98143,1.13594,0.67774,0.32522,0.34469,0.19189,1.17467,0.9984,1.07615,0.00123144,0.00123144,0.00123144
5,143.567,1.23274,0.92411,1.12332,0.43802,0.31528,0.34724,0.20016,1.1489,0.84197,1.09062,0.00122525,0.00122525,0.00122525
6,171.054,1.22567,0.89644,1.11068,0.40033,0.35509,0.36697,0.19491,1.20845,0.83635,1.08788,0.00121906,0.00121906,0.00121906
7,197.755,1.18191,0.87208,1.09812,0.71784,0.38986,0.42924,0.23178,1.12329,0.80614,1.04495,0.00121287,0.00121287,0.00121287
8,224.981,1.18566,0.86098,1.0936,0.65489,0.3897,0.37314,0.22019,1.09016,0.82477,1.02904,0.00120669,0.00120669,0.00120669
9,252.153,1.19019,0.85668,1.09514,0.74257,0.40318,0.44098,0.25038,1.09435,0.74682,1.04856,0.0012005,0.0012005,0.0012005
10,279.444,1.14953,0.7932,1.0752,0.76327,0.42057,0.43751,0.24695,1.08121,0.71955,1.03011,0.00119431,0.00119431,0.00119431
11,308.41,1.12367,0.77787,1.07019,0.74612,0.44212,0.45844,0.25849,1.04863,0.73996,1.01074,0.00118812,0.00118812,0.00118812
12,336.464,1.11392,0.77203,1.06692,0.80436,0.45937,0.49274,0.29286,1.05804,0.69252,1.01962,0.00118194,0.00118194,0.00118194
13,363.542,1.12731,0.78409,1.06312,0.80173,0.48731,0.49309,0.29994,1.02493,0.65584,1.00343,0.00117575,0.00117575,0.00117575
14,390.746,1.09629,0.76862,1.05768,0.71788,0.43383,0.47315,0.28524,1.06188,0.70767,1.02237,0.00116956,0.00116956,0.00116956
15,417.443,1.0996,0.75191,1.04822,0.77345,0.46156,0.48596,0.30111,0.99186,0.64903,0.98227,0.00116337,0.00116337,0.00116337
16,445.017,1.07077,0.73717,1.04706,0.73608,0.48171,0.4879,0.29729,1.01074,0.63205,0.99967,0.00115719,0.00115719,0.00115719
17,472.105,1.05089,0.74225,1.03311,0.79872,0.47933,0.52167,0.29238,1.01906,0.65502,0.99559,0.001151,0.001151,0.001151
18,499.786,1.06356,0.72285,1.03308,0.78525,0.4862,0.52315,0.31403,1.05058,0.66511,1.00071,0.00114481,0.00114481,0.00114481
19,527.832,1.03717,0.70289,1.0276,0.82389,0.46432,0.52025,0.31809,0.9811,0.62889,0.98087,0.00113863,0.00113863,0.00113863
20,555.821,1.02843,0.70219,1.02731,0.86247,0.47699,0.52429,0.32118,1.00843,0.63445,0.99375,0.00113244,0.00113244,0.00113244
21,583.605,1.02929,0.69566,1.02294,0.56812,0.43499,0.50268,0.31266,1.01678,0.65604,0.99097,0.00112625,0.00112625,0.00112625
22,611.588,1.01366,0.67204,1.01044,0.87613,0.47606,0.54679,0.32052,0.98801,0.6271,0.98399,0.00112006,0.00112006,0.00112006
